City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Adamas,GR,36.7333,24.4333,49.33,70,99,39.95,overcast clouds
229,Adre,TD,13.4667,22.2,58.48,36,27,12.03,scattered clouds
230,Shimoda,JP,34.6667,138.95,48.11,56,3,26.71,clear sky
231,Tiruchchendur,IN,8.4833,78.1167,88.09,66,89,17.6,overcast clouds
232,Ancud,CL,-41.8697,-73.8203,53.42,95,4,2.13,clear sky
233,Batagay-Alyta,RU,67.8006,130.4114,-21.55,99,100,0.78,overcast clouds
234,Reyes,BO,-14.3167,-67.3833,72.23,99,97,2.01,overcast clouds
235,Zhigansk,RU,66.7697,123.3711,-47.0,99,75,6.11,broken clouds
236,Aksarka,RU,66.5606,67.7975,-38.07,100,36,2.62,scattered clouds
237,Bubaque,GW,11.2833,-15.8333,77.11,53,7,20.47,clear sky
238,Hithadhoo,MV,-0.6,73.0833,82.36,71,99,2.37,overcast clouds
239,Sioux Lookout,CA,50.1001,-91.917,5.38,100,51,1.95,broken clouds
240,Mumford,GH,5.2618,-0.759,78.75,78,27,3.67,scattered clouds
241,Tumut,AU,-35.3,148.2167,72.59,82,100,10.2,light rain
242,Merritt Island,US,28.5392,-80.672,75.0,89,1,3.44,clear sky
243,Clyde River,CA,70.4692,-68.5914,5.23,85,99,6.91,mist
244,Quatre Cocos,MU,-20.2078,57.7625,83.08,61,0,5.14,clear sky
245,Baker City,US,44.7749,-117.8344,38.64,74,1,16.11,clear sky
246,Trelew,AR,-43.249,-65.3051,64.33,77,20,3.74,few clouds
247,Lakes Entrance,AU,-37.8811,147.981,67.57,93,100,15.43,light rain
248,Kuliyapitiya,LK,7.4688,80.0401,85.21,53,54,9.75,broken clouds
249,Bohicon,BJ,7.1783,2.0667,71.11,37,9,3.83,clear sky
250,Mehamn,NO,71.0357,27.8492,29.01,85,98,19.26,light snow
251,San-Pedro,CI,4.7485,-6.6363,78.22,85,92,3.06,light rain
252,Manggar,ID,-2.8833,108.2667,81.25,77,100,5.44,overcast clouds
253,Nioro,GM,13.35,-15.75,72.52,42,27,13.51,scattered clouds
254,Putten,NL,52.25,5.6,45.93,96,100,3.0,overcast clouds
255,Beira,MZ,-19.8436,34.8389,72.45,77,97,13.87,overcast clouds
256,Vestmannaeyjar,IS,63.4427,-20.2734,45.77,89,100,22.66,overcast clouds
257,Constitucion,CL,-35.3333,-72.4167,58.03,70,0,8.1,clear sky
258,Port Augusta,AU,-32.5,137.7667,82.71,42,61,25.23,broken clouds
259,Elizabeth City,US,36.2946,-76.2511,69.03,87,20,3.0,few clouds
260,Alta,NO,69.9689,23.2717,27.66,80,75,5.75,light snow
261,Weihai,CN,37.5017,122.1136,43.95,34,0,16.02,clear sky
262,Ulaangom,MN,49.9811,92.0667,-0.96,94,74,2.48,broken clouds
263,Tuktoyaktuk,CA,69.4541,-133.0374,-20.27,98,66,6.71,broken clouds
264,Verkhoyansk,RU,67.5447,133.385,-26.77,99,100,0.45,overcast clouds
265,Gaoua,BF,10.2992,-3.2508,70.2,22,6,5.75,clear sky
