City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
257,Dhidhdhoo,MV,2021-12-18 06:02:00,6.8833,73.1,82.35,71,29,8.37
258,Bako,ET,2021-12-18 06:02:00,5.7833,36.5667,76.53,43,63,0.63
259,Dutlwe,BW,2021-12-18 06:02:01,-23.9833,23.9,61.11,90,100,21.16
260,Umm Kaddadah,SD,2021-12-18 06:02:01,13.6017,26.6876,60.01,33,31,19.01
261,Qandala,SO,2021-12-18 06:02:01,11.472,49.8728,76.73,63,48,7.56
262,Gouyave,GD,2021-12-18 06:02:02,12.1646,-61.7296,78.39,77,62,22.97
263,Metro,ID,2021-12-18 06:02:02,-5.1131,105.3067,88.03,63,98,6.73
264,Manokwari,ID,2021-12-18 06:02:02,-0.8667,134.0833,85.48,68,80,9.33
265,Bealanana,MG,2021-12-18 06:02:03,-14.55,48.7333,77.77,62,16,1.21
266,Ilhabela,BR,2021-12-18 06:02:03,-23.7781,-45.3581,74.1,89,49,5.59
267,Irricana,CA,2021-12-18 06:02:03,51.3237,-113.6048,9.16,90,38,6.98
268,Cleveland,US,2021-12-18 05:57:46,41.4995,-81.6954,39.67,82,90,8.05
269,Kiunga,PG,2021-12-18 06:02:04,-6.1219,141.2906,77.27,95,100,3.42
270,Iqaluit,CA,2021-12-18 06:00:21,63.7506,-68.5145,29.93,92,90,27.0
271,Cayenne,GF,2021-12-18 06:02:04,4.9333,-52.3333,80.1,86,75,3.0
272,Antofagasta,CL,2021-12-18 06:01:51,-23.65,-70.4,63.52,86,81,6.85
273,Sangar,RU,2021-12-18 06:02:05,63.9242,127.4739,-25.1,96,100,3.0
274,Port Hardy,CA,2021-12-18 06:00:22,50.6996,-127.4199,37.42,91,100,30.71
275,Shipunovo,RU,2021-12-18 06:02:05,52.1582,82.2173,23.9,80,100,19.04
276,Klaksvik,FO,2021-12-18 06:03:05,62.2266,-6.589,47.32,80,100,14.41
277,Fort Walton Beach,US,2021-12-18 06:03:06,30.4058,-86.6188,72.25,93,90,3.0
278,Pisco,PE,2021-12-18 06:03:06,-13.7,-76.2167,67.01,88,0,1.14
279,Sainte-Maxime,FR,2021-12-18 06:03:06,43.3,6.6333,51.96,69,0,6.24
280,Scarborough,GB,2021-12-18 05:59:35,54.2797,-0.4044,38.16,94,52,1.01
281,Cap Malheureux,MU,2021-12-18 06:03:07,-19.9842,57.6142,84.69,59,6,5.99
282,Grand Gaube,MU,2021-12-18 06:03:07,-20.0064,57.6608,84.6,59,6,5.99
283,Axim,GH,2021-12-18 06:03:07,4.8699,-2.2405,78.17,86,24,6.98
